TCFG,unit_per_change,trend,dummy,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27
tcfg,0.0078483724088823,D,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.026846218919207,D,,0,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.0056712066009803,D,,0,0,0.25,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.015781330696944,D,,0,0,0,0,0,0.75,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.0056967636586863,D,,0,0,0,0,0,0,0.75,0.75,0.75,0.25,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.014027098753339,D,,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1
tcfg,0.0080400525986224,D,,0,0,0,0,0,0,0,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.018560853667564,D,,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1
tcfg,-0.022430910211168,D,,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1
tcfg,-0.050656508809773,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75
tcfg,-0.15077616265534,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
tcfg,-0.075104323486193,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.10294520582701,D,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
tcfg,-0.055391098094162,D,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.030436393537899,D,,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,-0.1168683484647,U,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.011212789303964,U,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.010356916359581,U,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcfg,0.094733575064643,U,,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
